communication_event_id,event_source_id,artifact_kind,artifact_url,status
comm-0effc8e1a9a012e9c2be49ba,src-8d9b2e03d3b99201a054b0e9,VIDEO,http://www.youtube.com/watch?v=XQSepGbiRv4,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-0effc8e1a9a012e9c2be49ba,src-8d9b2e03d3b99201a054b0e9,VIDEO,http://www.youtube.com/watch?v=dUVDW1iTzD8,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-12b9b7038e7101d00e7193ee,src-c7a7dddd92b0ad008f29278d,VIDEO,https://www.youtube.com/watch?v=vJbK9MYoGAs,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-134e2985d5cf8d682d0e05bb,src-207b2a406e1027b09d6ebd00,AUDIO,https://www.bostonfed.org/-/media/Files/Speeches/Sounds/20200306-Rosengren-Audio.mp3,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1363e454de08b22d88aa8d68,src-c953081b6d703246b55cb12f,VIDEO,https://www.youtube.com/live/beuFTHi6mLY?si=AFQwn0i3hUDxNchB,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-157d68061226ebc4d33517f9,src-d7e29745034a1de970932cf1,AUDIO,https://minneapolisfed.org/-/media/files/news_events/pres/nrk01-09-14.mp3?rev=a4376d8f0c524000a628c9fa5b3383b1,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-157d68061226ebc4d33517f9,src-d7e29745034a1de970932cf1,VIDEO,http://www.youtube.com/watch?v=_r9N49MmM9A,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-157d68061226ebc4d33517f9,src-d7e29745034a1de970932cf1,VIDEO,http://www.youtube.com/watch?v=muS30bwAMSA,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-15dfe45090e63f5d02b63c86,src-e571317ab59ef01db06c35f6,AUDIO,https://minneapolisfed.org/-/media/files/news_events/pres/kashkari-11-16-2016-media-qa.mp3?rev=a25b5414a1f740a1807462be42a05431,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-15dfe45090e63f5d02b63c86,src-3e046a0c358a0cbf6d0718e9,AUDIO,https://www.minneapolisfed.org/-/media/files/news_events/pres/kashkari-11-16-2016-media-qa.mp3?rev=a25b5414a1f740a1807462be42a05431,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-15dfe45090e63f5d02b63c86,src-3e046a0c358a0cbf6d0718e9,VIDEO,https://www.youtube.com/watch?v=459NbSFGeLw,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-16bd0a70eda9c73391297b24,src-53614243bd3df50e9c4712c8,VIDEO,https://www.youtube.com/watch?v=no699_y_4Yo,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-16be7bae259fe63cddea5fce,src-bfd2fb50e2065245bfd4516c,AUDIO,https://www.bostonfed.org/-/media/Files/Speeches/Sounds/rosengren-speech-20160404.mp3?sc_lang=en&hash=9350EAB26EDFEC83C17084A6B0C0CD21,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1933912aee1347b22ba5c54e,src-93e7b5fff7919814a8e3a02d,VIDEO,https://youtu.be/eCbylGk7hME,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-1991c754c1fc9d1d7a8303fe,src-6697120bbfe65d7cbe84956e,VIDEO,https://www.youtube.com/watch?v=C0ZENUCJ63I&t=2s,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-19eab099baebc4078213922f,src-8ef7cf2239d03be419719c69,VIDEO,http://youtu.be/ZPicbxgNbbA,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
