date,source,price,forward_pe,forward_eps,revision_ratio,revision_breadth,eps_mom_4w,eps_mom_13w,eps_mom_26w,ret_1m,ret_3m,ret_6m,ret_12m
2016-10-14,82221,2132.97998046875,16.5,129.22,0.8600405679513184,-0.0752453653217012,,,,-2.2409984747076894,5.864569242845619,10.22887854731187,14.314249132909197
2016-10-28,82221,2126.409912109375,16.5,128.97,0.0,-1.0,,,,2.609562244719288,5.2868529898878025,12.072470299175354,14.05044332373684
2016-11-18,82221,2181.89990234375,17.0,128.47,1.239057239057239,0.10676691729323308,,,,3.5579142228173044,4.097812010255719,7.428392015183505,13.300344117563467
2016-11-25,82221,2213.35009765625,17.1,128.56,1.2603305785123966,0.11517367458866545,,,,2.0204653005631457,3.6749651054359678,6.748587727040789,11.90412582030078
2016-12-02,82221,2191.949951171875,17.0,128.61,1.6727272727272726,0.25170068027210885,-0.4720631481194726,,,3.277451104767115,4.811696117730158,7.463221858836944,11.376633716211447
2016-12-09,82221,2259.530029296875,17.5,128.51,0.9330357142857143,-0.03464203233256351,-0.35667209428550395,,,-0.916117551149187,2.5036210019735217,3.0723168523943967,7.34754649766316
2016-12-16,82221,2258.070068359375,17.6,128.54,0.7705479452054794,-0.12959381044487428,0.05448742897173897,,,0.8374369057163156,4.122540086527748,4.013155938633739,8.191950420880833
2016-12-23,82221,2263.7900390625,17.6,128.55,0.8208469055374593,-0.09838998211091235,-0.007778469197250448,,,0.4792782602806245,4.574189613052981,5.318952289375756,9.398398530533992
2016-12-30,82221,2238.830078125,17.5,128.57,1.2222222222222223,0.1,-0.03110178057695867,,,1.4507568388554049,6.444885678119072,7.167134411195852,9.942686391905653
2017-01-06,82221,2276.97998046875,17.1,132.73,0.7194244604316546,-0.16317991631799164,3.2837911446579993,,,0.7777829005705339,4.199427224117058,5.003114777124562,9.804653616411718
2017-01-13,82221,2274.639892578125,17.1,132.75,0.0069124423963133645,-0.9862700228832952,3.275245059903531,,,1.0014784920990616,4.555011444226498,4.708001835369502,10.005103615194933
2017-01-20,82221,2271.31005859375,17.0,132.93,0.013888888888888888,-0.9726027397260274,3.407234539089843,,,1.9719914017477302,3.1994716705473714,6.36240786320017,10.92101221009436
2017-01-27,82221,2294.68994140625,17.3,132.91,0.011574074074074073,-0.977116704805492,3.3755930621451435,,,2.46089764391082,2.9646719615280315,6.291923119889775,11.096930008883877
2017-02-03,82221,2297.419921875,17.3,131.95,11.75,0.8431372549019608,-0.587659157688547,2.1126760563380254,,3.0434212461499355,2.529799477844974,5.847868575397497,11.132052854807405
2017-02-10,82221,2316.10009765625,17.6,131.5,0.8653846153846154,-0.07216494845360824,-0.941619585687381,1.9616965185702107,,2.893658162661894,0.5548056203886986,5.053745509788077,11.187334413717842
2017-02-17,82221,2351.159912109375,17.9,131.39,0.9264413518886679,-0.038183694530443756,-1.1585044760400343,2.2729041799641747,,0.9118982267624531,-0.10505328414301962,3.7062615890116613,9.778584394275969
2017-02-24,82221,2367.340087890625,18.0,131.43,0.9241706161137441,-0.03940886699507389,-1.1135354751335425,2.232420659614198,,0.4608510693153489,0.712185940984611,2.3684735668338286,9.31425109251931
2017-03-03,82221,2383.1201171875,18.2,131.22,0.9775784753363229,-0.011337868480725623,-0.5532398635846869,2.0293911826452016,,-1.6423904291044344,0.6785189616914211,1.7649053503338674,8.357947642005236
2017-03-10,82221,2372.60009765625,18.0,131.07,0.8705035971223022,-0.06923076923076923,-0.326996197718632,1.9920628744844793,,-0.4164261378428291,0.771297476788324,3.652951121456005,8.692994668749353
2017-03-17,82221,2378.25,18.2,131.04,1.1428571428571428,0.06666666666666667,-0.2663825253063301,1.944919869301387,,-0.9549021733417429,0.14632525885629466,3.964681554189009,9.425835041522124
2017-03-24,82221,2343.97998046875,17.9,130.91,1.475,0.1919191919191919,-0.3956478733926905,1.835861532477634,,-0.6412183304513208,3.0648763423422487,5.465921989738098,12.72365774108415
2017-03-31,82221,2362.719970703125,18.1,130.98,1.1397379912663756,0.0653061224489796,-0.18289894833105613,1.8744652718363453,,-0.5938083848633036,3.2314492873875666,4.829607775648359,12.22235528871991
2017-04-07,82221,2355.5400390625,17.4,135.14,1.0250696378830084,0.012379642365887207,3.105210955977711,1.8157161154222834,,1.2167023966521695,3.2361997335901505,3.641629005423974,13.596458316145487
2017-04-14,82221,2328.949951171875,17.3,135.18,1.1738095238095239,0.07995618838992333,3.1593406593406703,1.8305084745762867,,3.020249012016407,4.474117235513964,4.147796203505494,15.216734758101126
2017-04-21,82221,2348.68994140625,17.4,135.12,1.107391910739191,0.050959629384513566,3.21594988923688,1.647483638004954,,1.79717042225791,3.8153229952618606,4.017563398146029,13.834102164250893
2017-04-28,82221,2384.199951171875,17.7,135.03,1.7014925373134329,0.2596685082872928,3.092075125973448,1.595064329245366,,-0.10359746471393372,1.6445751925390217,3.873420834978969,15.055362743189594
2017-05-05,82221,2399.2900390625,17.7,135.06,1.581453634085213,0.22524271844660193,-0.05919786887670364,2.3569533914361562,4.519424237734104,0.6889550253513343,1.0790647298415612,2.589928335734082,16.12768547662007
2017-05-12,82221,2390.89990234375,17.7,134.96,1.7886178861788617,0.282798833819242,-0.16274596833850685,2.6311787072243353,4.6444909668915235,2.014729515376401,2.8595976402223444,4.572758483858985,17.541518407911827
2017-05-19,82221,2381.72998046875,17.6,134.79,1.518181818181818,0.20577617328519857,-0.2442273534635997,2.5877159601187305,4.919436444306058,2.100995472738343,3.812777239167886,5.058927385658607,20.6211510434146
