meeting_date,for_names,against_names,source_url,raw_file,note
2026-06-17,Kevin Warsh|John C. Williams|Michael S. Barr|Michelle W. Bowman|Lisa D. Cook|Beth M. Hammack|Philip N. Jefferson|Neel Kashkari|Lorie K. Logan|Anna Paulson|Jerome H. Powell|Christopher J. Waller,,https://www.federalreserve.gov/monetarypolicy/fomcminutes20260617.htm,raw/minutes/fomcminutes20260617.htm,Official minutes supply the named roll call omitted from the aggregate-vote statement
2026-07-29,Kevin Warsh|John C. Williams|Michael S. Barr|Michelle W. Bowman|Lisa D. Cook|Philip N. Jefferson|Anna Paulson|Jerome H. Powell|Christopher J. Waller,Beth M. Hammack|Neel Kashkari|Lorie K. Logan,https://www.federalreserve.gov/monetarypolicy/fomcminutes20260729.htm,raw/minutes/fomcminutes20260729.htm,Official minutes supply the full named roll call
