Ticker,Regime,N_days,Pct_time,1M_mean,1M_median,1M_hit_neg,1M_mdd_mean,1M_mdd_p10,3M_mean,3M_median,3M_hit_neg,3M_mdd_mean,3M_mdd_p10,6M_mean,6M_median,6M_hit_neg,6M_mdd_mean,6M_mdd_p10,12M_mean,12M_median,12M_hit_neg,12M_mdd_mean,12M_mdd_p10
SPY,Hawkish_v2 (HP>0 & ΔExp1Y_4w>0),3016,36.1%,0.005335461878919303,0.008805360384657734,0.39986737400530503,-0.03819777166938617,-0.07673826514146369,0.019070388926682637,0.024060888779769085,0.3296408190668009,-0.06994004209770165,-0.13204860451870132,0.03822382507596925,0.04585775384127988,0.2641826116146358,-0.09919915521497712,-0.19423880378215935,0.09079542173394052,0.09618376498581505,0.2020812353138637,-0.12914900175895627,-0.22747264651717042
SPY,StrongHawkish_v2 (HP>0.5 & ΔExp1Y_4w>0.25),375,4.5%,-0.006027915594340481,-0.003522012578616396,0.5253333333333333,-0.04658487376772647,-0.09229478394630126,-0.012638301823556925,-0.0049900858516263025,0.5386666666666666,-0.08593658035052283,-0.1561910952226195,0.0020423985026044138,0.016988276792198498,0.368,-0.1147029326529186,-0.20732315025457695,0.07370317234261888,0.08164107644048202,0.2613333333333333,-0.1267649069337038,-0.22747264651717042
SPY,StrongHawkish_v2_strict (HP>0.5 & ΔExp1Y_4w>0.25 & ΔDFF≥0),283,3.4%,-0.003378622366893879,0.0003490909090908545,0.4911660777385159,-0.048123379650882946,-0.09773912796482818,-0.013356283254810976,-0.0025210084033613356,0.5229681978798587,-0.09170758603976163,-0.16876890854084242,0.006526857197362511,0.016054076890578806,0.36395759717314485,-0.1125190373023743,-0.20732315025457695,0.08236250537799521,0.0911467116357505,0.254416961130742,-0.12016456896796934,-0.22747264651717042
SPY,StrongHawkish_v1_OLD (HP>0.5 & ΔHP_4w>0.25),317,3.8%,-0.011236967703780378,-0.010285016996426477,0.5741324921135647,-0.06017329612395653,-0.11397126368993432,-0.010492410831938343,-0.011860922067951418,0.6056782334384858,-0.09628238418769496,-0.17791659176703217,-0.0052878235327138865,0.0029974651592643564,0.4889589905362776,-0.13703678492911978,-0.3033137420284566,0.06097493977073989,0.05704805369127519,0.3753943217665615,-0.1601787158255384,-0.33542062311624143
SPY,Dovish (HP<0),3128,37.4%,0.009752852848151191,0.014303452847031717,0.34494884910485935,-0.042301557758084155,-0.08096115419738159,0.029936226659014208,0.03829876227827156,0.2920268972142171,-0.07397007271101473,-0.13793582442005825,0.05147910473578019,0.06921190563754454,0.2856209150326797,-0.1103729999014374,-0.19030047443331577,0.08852749240774065,0.14471136348770897,0.27266530334015,-0.17597175155907507,-0.34104746704498434
SPY,Dovish Shift (HP<0 & ΔExp1Y_4w<-0.25),460,5.5%,0.017260115345196145,0.023745446603044673,0.25869565217391305,-0.05073101556461755,-0.09403320524903946,0.036291155918803886,0.04612255433842316,0.2782608695652174,-0.09025745597293719,-0.19966649749873128,0.0352400926579573,0.007154762562791683,0.49130434782608695,-0.12643542396602422,-0.2036789900811542,0.009190798639283003,0.05554035567715454,0.47276688453159044,-0.2476170522458598,-0.47256204124432016
SPY,Neutral (|HP|<0.25),2201,26.3%,0.010187367707070107,0.016568036880134418,0.3348477964561563,-0.042334031058694564,-0.07892138245347513,0.02955320893373614,0.03736223204406075,0.24826308476146364,-0.07864630176168134,-0.152743817118867,0.060743189181848276,0.07211730018328155,0.1755545068428504,-0.10680442384137848,-0.19218038891187433,0.12785592635126589,0.14136053484044386,0.15337423312883436,-0.14302564400123874,-0.34104746704498434
SPY,All,8338,99.7%,0.008217777222334494,0.012965475495421153,0.3577596545934277,-0.0411009308740858,-0.08096115419738159,0.024470920366941745,0.032772637702506824,0.3025554484088717,-0.07468099391466372,-0.14087704444487328,0.04935934887204096,0.058642524005487084,0.2617514879144905,-0.10524982874272898,-0.19672299729201662,0.10206934839052241,0.12529663028001892,0.2130257801899593,-0.1473024547622069,-0.2947147103603277
QQQ,Hawkish_v2 (HP>0 & ΔExp1Y_4w>0),2588,37.8%,0.00974123793536439,0.012514244416249376,0.39258114374034003,-0.051795752479550296,-0.10562890896455882,0.024310737507544224,0.03301301921884692,0.3430027440219522,-0.09636703237025279,-0.18318001519115537,0.05287480979316128,0.06949806949806958,0.29753038024304196,-0.13699533518253074,-0.26886500175112477,0.11273675181149845,0.11725932350390278,0.2061936495491964,-0.18024927171699318,-0.35246962756423017
QQQ,StrongHawkish_v2 (HP>0.5 & ΔExp1Y_4w>0.25),246,3.6%,-0.02090096025399357,-0.02593328656133914,0.6178861788617886,-0.08056599122685688,-0.13992405226234156,-0.06989140464696328,-0.057264685437719454,0.7764227642276422,-0.15843723805599177,-0.266559829059829,-0.057803048031431305,-0.03338997311311198,0.6219512195121951,-0.20665828878676348,-0.41136363636363643,0.03374169636264949,0.03765184948106959,0.44308943089430897,-0.22222850176437783,-0.4541496598639456
QQQ,StrongHawkish_v2_strict (HP>0.5 & ΔExp1Y_4w>0.25 & ΔDFF≥0),197,2.9%,-0.017562421181968692,-0.020633687300353976,0.583756345177665,-0.08196629424441754,-0.14473209591217306,-0.061272883943199304,-0.05075235909206843,0.7563451776649747,-0.15697573582033028,-0.26293745098374827,-0.03132531526529579,-0.030264170300076887,0.6142131979695431,-0.1905289771926323,-0.26886500175112477,0.07334709620724245,0.06463478717813986,0.39593908629441626,-0.20061652677185676,-0.29928069182898237
